,pressure,temperature,e-,H2,H,H+,H-,H2-,H2+,H3+,He,H2O,CH4,CO,NH3,N2,PH3,H2S,TiO,VO,Fe,FeH,CrH,Na,K,Rb,Cs,CO2,HCN,C2H2,C2H4,C2H6,SiO,MgH,OCS,Li,LiOH,LiH,LiCl,LiF
0,1e-06,182.2083601907734,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,4.5000000000000027e-38,0.00013716000000000002,7.1397067699820585e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,5.479035271179813e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
1,1.2271252398511892e-06,182.16769431002155,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239000000000006,0.0011319000000000008,0.0001521300000000001,4.5000000000000027e-38,0.00013716000000000018,4.681080871461621e-12,4.5000000000000027e-38,2.5387000000000033e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,3.5539799666929055e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
2,1.5058363542798415e-06,182.21166089270955,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013715999999999989,3.151923790964902e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,2.4208878440216437e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
3,1.8478497974222906e-06,182.25802710536655,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,2.1238801414803633e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.6513194089690496e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
4,2.2675431258707998e-06,181.01790465157845,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,4.5000000000000027e-38,0.00013716000000000002,9.525244024012536e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,5.330851008120347e-37,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
5,2.782559402207126e-06,181.29805841197145,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,4.5000000000000027e-38,0.00013716000000000002,6.915350473559875e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.170221232179648e-37,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
6,3.414548873833601e-06,181.0286792859954,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,4.2151377494549e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,2.6278084497204307e-37,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
7,4.190079105786665e-06,180.640168824409,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,4.5000000000000027e-38,0.00013715999999999975,2.472586193750676e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.6607294760173348e-37,3.9999999999999356e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
8,5.141751827683928e-06,177.7117153465402,4.500195876307493e-38,0.8361962371486709,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,0.16239685571213006,0.001078255173300155,0.0001521368556222712,4.500195876307493e-38,0.00013716587630776828,6.357319344858414e-14,4.500195876307493e-38,2.5388077325107924e-05,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,7.929800999367615e-38,4.000176288235194e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38,4.500195876307493e-38
9,6.30957344480193e-06,172.4432784610279,4.500919925015315e-38,0.8363301862171914,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,0.16242219749183975,0.0009011230575490093,0.00015216219723920404,4.500919925015315e-38,0.0001371875978025936,7.075145463885059e-15,4.500919925015315e-38,2.5392059602813038e-05,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,5.11581492576232e-38,4.000827931272373e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38,4.500919925015315e-38
