,pressure,temperature,e-,H2,H,H+,H-,H2-,H2+,H3+,He,H2O,CH4,CO,NH3,N2,PH3,H2S,TiO,VO,Fe,FeH,CrH,Na,K,Rb,Cs,CO2,HCN,C2H2,C2H4,C2H6,SiO,MgH,OCS,Li,LiOH,LiH,LiCl,LiF
0,1e-06,183.84808337154107,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521300000000001,4.5000000000000027e-38,0.00013716000000000002,1.1903618730377892e-11,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.4016281522643074e-35,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
1,1.2271252398511892e-06,183.58723925374107,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521300000000001,4.5000000000000027e-38,0.00013716000000000002,7.292078639722167e-12,4.5000000000000027e-38,2.5386999999999928e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,8.025072098098337e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
2,1.5058363542798415e-06,184.35210965343938,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,6.131531681742555e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,8.222591155444352e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
3,1.8478497974222906e-06,182.97969855442125,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,2.662395098979669e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,2.501330542414377e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
4,2.2675431258707998e-06,182.5410655829724,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,1.5414734979230098e-12,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.2910742297353088e-36,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
5,2.782559402207126e-06,182.18188772727692,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239000000000006,0.0011318999999999997,0.00015212999999999997,4.5000000000000027e-38,0.00013716000000000002,9.1448093797282e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,6.968883055194296e-37,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
6,3.414548873833601e-06,181.32491076031263,4.499999999999929e-38,0.83616,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,0.16238999999999998,0.0011318999999999986,0.0001521299999999998,4.499999999999929e-38,0.00013715999999999989,4.631706123679292e-13,4.499999999999929e-38,2.5386999999999928e-05,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,3.113324260064952e-37,3.9999999999999356e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38,4.499999999999929e-38
7,4.190079105786665e-06,180.58982304573732,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,4.5000000000000027e-38,0.00013716000000000002,2.4330554720670736e-13,4.5000000000000027e-38,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.6148563411107765e-37,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
8,5.141751827683928e-06,177.80598026778412,4.5001877075280817e-38,0.8361947259232929,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,0.16239656980330508,0.0010804406586230426,0.00015213656971680396,4.5001877075280817e-38,0.0001371656312436932,6.557465597013158e-14,4.5001877075280817e-38,2.5388032396618745e-05,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,7.982461895711013e-38,4.000168936350193e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38,4.5001877075280817e-38
9,6.30957344480193e-06,171.91749769069594,4.5009869479980633e-38,0.8363425854695483,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,0.1624245432969636,0.0008862786842555769,0.000152164543042742,4.5009869479980633e-38,0.00013718960849240126,5.884448554592778e-15,4.5009869479980633e-38,2.539242822931341e-05,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.978368406930547e-38,4.0008882519489404e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38,4.5009869479980633e-38
