lambda (um),flam at wd surface (erg/cm^2/s/A)
0.021929,6.505010723996636e-54
0.022038,1.3981837293131239e-53
0.022148,3.003037762079622e-53
0.022259,6.4446021512284335e-53
0.02237,1.37241216648748e-52
0.022593,6.125043143166213e-52
0.022771,1.9786298089512554e-51
0.022791,2.2546510513956215e-51
0.022924,5.341539640018353e-51
0.023047,1.175385232832887e-50
0.023278,5.052276539144843e-50
0.023394,1.0392330252823064e-49
0.023511,2.135283401335332e-49
0.023746,8.874472480849853e-49
0.023983,3.627426938347292e-48
0.024223,1.466861650466514e-47
0.024465,5.834036340816657e-47
0.024588,1.1644121397050513e-46
0.02471,2.2950998007111702e-46
0.024833,4.517808495205917e-46
0.024957,8.880897095363683e-46
0.025207,3.457093749750974e-45
0.025333,6.730143906673421e-45
0.025459,1.301440802224172e-44
0.025586,2.512976645891582e-44
0.025713,4.820311494799065e-44
0.02597,1.7656615905496966e-43
0.0261,3.371359032944062e-43
0.02623,6.395338812789007e-43
0.026361,1.2112496947435611e-42
0.026492,2.2793346460103832e-42
0.026757,8.032745509989834e-42
0.027025,2.798876360501073e-41
0.027295,9.597826632513464e-41
0.027432,1.7767291108697882e-40
0.027568,3.2541298408275863e-40
0.027844,1.0907857982817341e-39
0.028122,3.599282123536479e-39
0.028263,6.534377536555277e-39
0.028403,1.1742377362220904e-38
0.028687,3.7874258206926476e-38
0.028974,1.2077070316854485e-37
0.029264,3.807129533131467e-37
0.02941,6.727161391181664e-37
0.029557,1.1864202148145748e-36
0.029852,3.641214283223608e-36
0.030002,6.384450108748162e-36
0.030151,1.1089645592828879e-35
0.030452,3.326727421545794e-35
0.030757,9.901913853912604e-35
0.030911,1.7032087398929164e-34
0.031064,2.903484606277504e-34
0.03122,4.9742102999143565e-34
0.031375,8.446373281842565e-34
0.031532,1.436237749253097e-33
0.031689,2.4291019775869947e-33
0.031847,4.100086216130697e-33
0.032006,6.906529586307192e-33
0.032327,1.9476627619868823e-32
0.032649,5.395891431929522e-32
0.032977,1.4919653226128692e-31
0.033305,4.041465537670751e-31
0.03364,1.0955532974644222e-30
0.033975,2.9105164027393937e-30
0.034316,7.712342513267802e-30
0.034658,2.0093875459333318e-29
0.035006,5.220133209550316e-29
0.035354,1.3302197986996105e-28
0.03571,3.3970101844755577e-28
0.036065,8.489986212799979e-28
0.036427,2.1201319109377866e-27
0.03679,5.210130305686808e-27
0.037159,1.2757231157816197e-26
0.037529,3.07484955118671e-26
0.037906,7.4000194019969e-26
0.038284,1.7534677280553917e-25
0.038668,4.1380218687442365e-25
0.039053,9.617986847201716e-25
0.039446,2.2356086240672005e-24
0.039838,5.097523283888924e-24
0.040238,1.1620445275080142e-23
0.040639,2.610316295909138e-23
0.041047,5.848370226777883e-23
0.041456,1.291503245522058e-22
0.041838,2.6679169951125006e-22
0.042221,5.447171322830026e-22
0.042467,8.555285557896424e-22
0.042712,1.3340785931892078e-21
0.043141,2.8680103581693953e-21
0.04357,6.070367369164613e-21
0.043703,7.635270156654482e-21
0.044006,1.2806476583374186e-20
0.044226,1.8557254987134423e-20
0.044446,2.6788120595928513e-20
0.044721,4.21644342948808e-20
0.04489,5.556150889167434e-20
0.045339,1.1445345866911687e-19
0.045566,1.6400693670248995e-19
0.045793,2.341460612539306e-19
0.046203,4.4133163842374845e-19
0.046251,4.749645713576066e-19
0.046713,9.55380773839615e-19
0.046947,1.353738295266213e-18
0.04718,1.9084959215824885e-18
0.047652,3.786164128005915e-18
0.048129,7.459014125185802e-18
0.048203,8.276033464717473e-18
0.048433,1.1407928396914039e-17
0.04861,1.4572571971793662e-17
0.048853,2.0333323568639942e-17
0.049096,2.827387185823491e-17
0.049342,3.9340012653063414e-17
0.049587,5.447865853547232e-17
0.049703,6.348410847297564e-17
0.049821,7.411707808818812e-17
0.050083,1.04247693424521e-16
0.050387,1.5415283099848093e-16
0.050407,1.5777482215917133e-16
0.050584,1.9760327485947776e-16
0.050821,2.6642133208066255e-16
0.050933,3.065183428203933e-16
0.05109,3.7267984600328055e-16
0.051303,4.848644513139763e-16
0.051421,5.604105806301577e-16
0.0516,6.971494355103866e-16
0.051821,9.108546192111038e-16
0.052021,1.157842195569057e-15
0.052061,1.214474509085637e-15
0.052101,1.2737850999447023e-15
0.052141,1.3358844965053966e-15
0.052181,1.4009108836575677e-15
0.052261,1.540255355589086e-15
0.052301,1.6148550226686471e-15
0.052341,1.6929446817197592e-15
0.052381,1.774686287529119e-15
0.052421,1.860222052936566e-15
0.052621,2.351252678097163e-15
0.052903,3.2612703039647697e-15
0.052933,3.376071344397163e-15
0.053021,3.735744352225546e-15
0.053164,4.400504735588928e-15
0.053303,5.155343505692109e-15
0.053503,6.464565999417724e-15
0.053543,6.762465247163057e-15
0.053583,7.073593603231364e-15
0.053621,7.381938608834742e-15
0.053663,7.737861868834987e-15
0.053696,8.029061907502948e-15
0.053743,8.462144174737965e-15
0.053783,8.848429817138115e-15
0.053823,9.251697589041605e-15
0.053863,9.672677737462845e-15
0.053903,1.01121492043569e-14
0.054103,1.2614996089039386e-14
0.054233,1.455197552676696e-14
0.054433,1.8103684964723515e-14
0.054503,1.953414355915916e-14
0.054621,2.219583892210039e-14
0.054775,2.6200279144112886e-14
0.055103,3.7183389001339676e-14
0.055323,4.6913058363049235e-14
0.055599,6.262890425185993e-14
0.055876,8.345140873011987e-14
0.056033,9.806794585497675e-14
0.056103,1.0535328531688097e-13
0.056221,1.188318607170899e-13
0.056435,1.4763158058907169e-13
0.056999,2.5947031751147135e-13
0.057033,2.6834452122880446e-13
0.057569,4.5351601596303913e-13
0.057633,4.82517598523094e-13
0.057703,5.162812509491641e-13
0.058033,7.08564462912036e-13
0.058145,7.882750944622223e-13
0.058233,8.568937490099537e-13
0.058273,8.899486000723163e-13
0.058313,9.24228781885782e-13
0.058353,9.597820655304242e-13
0.058393,9.966484063777773e-13
0.058473,1.0745165852212398e-12
0.058513,1.1156121386672134e-12
0.058553,1.1582157095144453e-12
0.058593,1.202380973425938e-12
0.058633,1.248176275697343e-12
0.058726,1.361211593497601e-12
0.058833,1.5034484389087344e-12
0.059203,2.113990945766363e-12
0.059233,2.1728077359888818e-12
0.059313,2.3374364229822728e-12
0.059721,3.381674618658927e-12
0.059833,3.7390823907785025e-12
0.059906,3.991282668215007e-12
0.060206,5.210267931353974e-12
0.060506,6.782886516679956e-12
0.060833,9.014449890986205e-12
0.061111,1.14517233069069e-11
0.061203,1.2389357080909873e-11
0.061722,1.9224925749055593e-11
0.062221,2.912034052348796e-11
0.062339,3.209209985201768e-11
0.062433,3.4665505732173495e-11
0.062962,5.3268214593272744e-11
0.063592,8.79877029502195e-11
0.063703,9.601832476121548e-11
0.063933,1.1495213828619147e-10
0.064228,1.4451215606552333e-10
0.064549,1.8491555034957154e-10
0.06487,2.3600896272634223e-10
0.065519,3.8354823332484374e-10
0.065933,5.200784601483353e-10
0.066174,6.198008679167791e-10
0.066505,7.869378550300819e-10
0.066836,9.966608773683242e-10
0.06717,1.2618485328595423e-09
0.067504,1.5936706715627053e-09
0.067969,2.1968907597643548e-09
0.068433,3.012513567743534e-09
0.068991,4.377777870614588e-09
0.06955,6.3257974147113235e-09
0.070249,9.93649150155219e-09
0.070948,1.5462295335410185e-08
0.071661,2.404825273447911e-08
0.072374,3.705925007277382e-08
0.073101,5.706986213673684e-08
0.073828,8.709867794570686e-08
0.07457,1.328902894303735e-07
0.075312,2.0097598096905812e-07
0.076069,3.038060563363875e-07
0.076826,4.5530087381474987e-07
0.077598,6.81911193687229e-07
0.07837,1.012729491748802e-06
0.079158,1.5036290194397107e-06
0.079945,2.2129870848367046e-06
0.080749,3.2572156032596066e-06
0.081552,4.7532082563548195e-06
0.082372,6.935507481048926e-06
0.083192,1.003976782687852e-05
0.084023,1.4491409374300904e-05
0.084864,2.084580049220119e-05
0.085288,2.4967125074962963e-05
0.085712,2.984620005871355e-05
0.086569,4.256904679537734e-05
0.087435,6.0483045796727606e-05
0.087872,7.200845874666933e-05
0.08831,8.560501427445517e-05
0.089193,0.00012065128430824546
0.089222,0.00012200331209442083
0.090085,0.00016939454393496934
0.090985,0.00023683457804636485
0.091112,0.0002481615799522424
0.091132,0.00024999112886975024
0.091722,0.00021084962027660413
0.091895,0.00019371613298721084
0.092513,0.0002107950742548305
0.092814,0.00023122670446229358
0.093722,0.0003109847043765923
0.093742,0.00031329725296894715
0.09468,0.00042369309651860956
0.095013,0.00047331908890649587
0.095222,0.0005034219860088623
0.095627,0.0005718074451030895
0.096105,0.0006636584433264811
0.096583,0.0007691437805852806
0.096822,0.0008275875989979068
0.097013,0.0008773606214827506
0.097549,0.0008954132844040805
0.097822,0.0009711829207070309
0.098422,0.001161796338445837
0.098479,0.001181618587389727
0.098513,0.001193594624438304
0.098822,0.0013076774012222656
0.099022,0.0013868106345228568
0.099062,0.0014031556488431044
0.099102,0.0014196860652250338
0.099142,0.0014363935646695821
0.099182,0.0014532829346104936
0.099262,0.0014876106861920328
0.099302,0.001505058589225602
0.099342,0.0015226917349144104
0.099382,0.0015405148699895658
0.099422,0.0015585327255475884
0.099509,0.0015984008679084465
0.099622,0.0016515854425710082
0.100022,0.0018532970846740148
0.100113,0.0019022614994341938
0.100504,0.002126591413846401
0.100622,0.0021989541864386496
0.100979,0.002432024151351917
0.101113,0.0025252843589584606
0.101509,0.00282069540921411
0.101622,0.0029107867680825367
0.101713,0.0029853025111675146
0.102113,0.003337215085594797
0.102313,0.0035412268653161917
0.102353,0.0035913706378353505
0.102393,0.003651768400420144
0.102433,0.0037362531370030414
0.102473,0.0038872873566244827
0.102525,0.004422041708959617
0.102553,0.004922110191552639
0.102593,0.004949592345658609
0.102633,0.004361436492651164
0.102673,0.004100500389726851
0.102713,0.004032131250589391
0.102913,0.004157958840831936
0.102979,0.004228147754129256
0.103222,0.004507944916437321
0.103313,0.004618699206797642
0.10355,0.004920350382870098
0.103913,0.005419205637892609
0.104479,0.006292529029727702
0.104585,0.0064699710183629975
0.104722,0.006706267873323185
0.104913,0.007049053887974021
0.105631,0.00848900607087491
0.106079,0.00952137729173198
0.106513,0.010631887608465233
0.106687,0.011110050666437336
0.106722,0.011208617826685996
0.107079,0.01226157268352025
0.107679,0.014241061379669573
0.107754,0.014508414344064137
0.108013,0.015468019468182027
0.108079,0.015721868233854217
0.108279,0.016514847270266107
0.108319,0.01667785103669276
0.108359,0.016842341066977625
0.108399,0.017008357738655052
0.108439,0.017175897539257187
0.108519,0.017515576220624128
0.108559,0.017687773558920768
0.108599,0.01786152353354329
0.108639,0.018036844378771077
0.108679,0.018213776060353036
0.108832,0.018905602242698112
0.108879,0.019123010575318292
0.109222,0.020781301360595625
0.109279,0.02106952522970612
0.109879,0.024337613068348817
0.10992,0.024577385303901817
0.109922,0.024589056602888733
0.109924,0.024600940005539872
0.109926,0.02461260956550288
0.109928,0.024624278259936076
0.10993,0.024636159035000684
0.109932,0.02464782599083994
0.109934,0.02465970501195761
0.109936,0.02467158315233633
0.109938,0.024683247496949053
0.10994,0.024695123883814014
0.109942,0.02470678649055025
0.109944,0.024718661124189915
0.109946,0.024730534877452442
0.109948,0.02474219487403912
0.10995,0.0247540668745093
0.109952,0.02476593799481943
0.109954,0.024777808235042
0.109956,0.02478967759524948
0.109958,0.024801546075514377
0.10996,0.024813413675909113
0.109962,0.02482506757433696
0.109964,0.024836933422950267
0.109966,0.02484879839191038
0.109968,0.02486066248128973
0.10997,0.02487252569116077
0.109972,0.0248846008050621
0.109974,0.024896462248394414
0.109976,0.024908322812436087
0.109978,0.02492018249725951
0.10998,0.02493204130293712
0.109982,0.024943899229541253
0.109984,0.024955969014180814
0.109986,0.024967825175118377
0.109988,0.024979680457200046
0.10999,0.024991747574325526
0.109992,0.025003601091176938
0.109994,0.025015666427746622
0.109996,0.025027518179658845
0.109998,0.025039369053077767
0.11,0.025051431723229562
0.110002,0.02506328083214539
0.110004,0.02507534172247271
0.110006,0.025087189067176385
0.110008,0.02509924817797184
0.11001,0.025111306395245184
0.110012,0.02512315109031037
0.110014,0.02513520752849105
0.110016,0.025147263073369844
0.110018,0.025159105119452106
0.11002,0.025171158885677315
0.110022,0.02518321175882078
0.110024,0.025195263738955996
0.110026,0.02520731482615646
0.110028,0.025219365020495682
0.11003,0.02523141432204714
0.110032,0.025243462730884278
0.110034,0.025255510247080625
0.110036,0.025267556870709633
0.110038,0.02527960260184472
0.11004,0.025291647440559367
0.110042,0.025303691386927018
0.110044,0.025315734441021094
0.110046,0.025327776602915037
0.110048,0.02533981787268226
0.11005,0.025352070732340738
0.110052,0.025364110210351863
0.110054,0.025376148796456926
0.110056,0.025388398949506428
0.110058,0.02540043574429785
0.11006,0.025412471647403803
0.110062,0.025424719094511137
0.110064,0.025436753206745818
0.110066,0.025448786427515514
0.110068,0.025461031169347233
0.11007,0.025473275004422456
0.110072,0.02548530553579991
0.110074,0.02549754756530417
0.110076,0.025509576306695533
0.110078,0.025521816530925487
0.11008,0.02553405584877101
0.110082,0.02554608190187793
0.110084,0.025558319414894427
0.110086,0.025570556021749746
0.110088,0.025582579387236917
0.11009,0.025594814189708392
0.110092,0.025607048086241837
0.110094,0.025619281076911804
0.110096,0.02563151316179279
0.110098,0.02564374434095931
0.1101,0.025655974614485846
0.110102,0.025668203982446895
0.110104,0.025680432444916943
0.110106,0.025692660001970447
0.110108,0.025704886653681893
0.11011,0.025717112400125745
0.110112,0.02572933724137643
0.110114,0.025741561177508417
0.110116,0.02575399643590731
0.110118,0.025766218554316184
0.11012,0.025778439767830064
0.110122,0.02579066007652339
0.110124,0.025803091676948144
0.110126,0.025815310168516188
0.110128,0.025827527755487308
0.11013,0.0258399566112927
0.110132,0.025852172381587015
0.110134,0.02586459940545305
0.110136,0.025876813359369717
0.110138,0.0258892385515972
0.11014,0.02590145068943534
0.110142,0.02591387405032506
0.110144,0.02592629649180687
0.110146,0.025938505902236376
0.110148,0.025950926512831863
0.11015,0.02596334620424577
0.110152,0.02597555288794059
0.110154,0.02598797074891951
0.110156,0.026000387690943094
0.110158,0.026012803714086916
0.11016,0.02602521881842653
0.110162,0.026037633004037424
0.110164,0.026049834228584503
0.110166,0.026062246584663506
0.110168,0.02607465802223992
0.11017,0.026087068541389268
0.110172,0.026099478142187032
0.110174,0.026112098828628798
0.110176,0.026124506585252998
0.110178,0.026136913423752486
0.11018,0.026149319344202723
0.110182,0.02616172434667914
0.110184,0.02617412843125721
0.110186,0.026186743555757657
0.110188,0.026199145797071027
0.11019,0.02621154712071274
0.110192,0.026224159461421793
0.110194,0.026236558942253452
0.110196,0.026248957505640134
0.110198,0.026261567063242806
0.1102,0.02627396378427391
0.110202,0.02628657148428899
0.110204,0.02629896636326774
0.110206,0.02631157220600006
0.110208,0.026323965243229608
0.11021,0.02633656922898398
0.110212,0.02634917228251901
0.110214,0.026361562553848566
0.110216,0.02637416375086316
0.110218,0.026386764015887746
0.11022,0.026399363348998898
0.110222,0.026411749930961844
0.110224,0.026424347408162643
0.110226,0.026436943953679255
0.110228,0.02644953956758824
0.11023,0.026462134249966147
0.110232,0.026474728000889486
0.110234,0.02648732082043478
0.110236,0.026499912708678536
0.110238,0.02651250366569728
0.11024,0.026525093691567497
0.110242,0.026537682786365698
0.110244,0.026550270950168348
0.110246,0.02656306991014931
0.110248,0.026575656204508507
0.11025,0.02658824156810199
0.110252,0.02660082600100621
0.110254,0.026613621199670385
0.110256,0.026626203763745283
0.110258,0.02663878539736068
0.11026,0.026651577773926675
0.110262,0.02666415753917341
0.110264,0.02667694803216672
0.110266,0.026689525929352143
0.110268,0.026702102896460907
0.11027,0.026714890568513044
0.110272,0.02672767729528778
0.110274,0.02674025145727223
0.110276,0.02675303630140096
0.110278,0.02676582020048473
0.11028,0.02677839155803716
0.110282,0.026791173574938466
0.110284,0.026803954647027197
0.110286,0.026816734774380905
0.110288,0.026829302391209377
0.11029,0.026842080636998767
0.110292,0.02685485793828544
0.110294,0.026867634295146915
0.110296,0.026880409707660757
0.110298,0.026893184175904496
0.1103,0.026905957699955654
0.110302,0.02691873027989176
0.110304,0.02693150191579032
0.110306,0.026944272607728845
0.110308,0.026957042355784822
0.11031,0.026970022641523428
0.110312,0.0269827904943784
0.110314,0.026995557403583684
0.110316,0.027008323369216755
0.110318,0.027021088391355096
0.11032,0.027034063913225898
0.110322,0.027046827040940774
0.110324,0.027059800653211168
0.110326,0.02707256188681399
0.110328,0.027085322177310082
0.11033,0.02709829292959916
0.110332,0.027111051326449812
0.110334,0.02712402016992058
0.110336,0.027136776673437057
0.110338,0.027149743608402433
0.11034,0.02716270958540116
0.110342,0.027175463245668764
0.110344,0.027188427314631745
0.110346,0.027201390425863472
0.110348,0.027214352579442574
0.11035,0.027227102447249033
0.110352,0.027240062693418665
0.110354,0.02725302198217098
0.110356,0.02726598031358455
0.110358,0.02727893768773793
0.11036,0.027291894104709655
0.110362,0.02730484956457829
0.110364,0.027317804067422367
0.110366,0.02733075761332042
0.110368,0.02734371020235096
0.11037,0.027356661834592517
0.110372,0.027369612510123566
0.110374,0.02738256222902264
0.110376,0.027395722220018216
0.110378,0.02740867001823409
0.11038,0.027421616860053843
0.110382,0.02743456274555596
0.110384,0.027447718872852692
0.110386,0.02746066283830185
0.110388,0.027473605847669103
0.11039,0.027486759076109004
0.110392,0.027499700165896056
0.110394,0.027512851459609907
0.110396,0.027525790630132104
0.110398,0.027538939989436895
0.1104,0.027552088377830967
0.110402,0.02756502466622218
0.110404,0.027578171120682962
0.110406,0.027591105490597827
0.110408,0.027604250011442174
0.11041,0.027617393561773076
0.110412,0.027630536141670138
0.110414,0.027643677751212955
0.110416,0.027656607314845438
0.110418,0.02766974699156487
0.11042,0.027682885698168364
0.110422,0.027696023434735505
0.110424,0.02770916020134583
0.110426,0.027722295998078884
0.110428,0.02773543082501422
0.11043,0.027748564682231355
0.110432,0.027761697569809812
0.110434,0.027774829487829118
0.110436,0.027788171435559627
0.110438,0.027801301407056955
0.11044,0.027814430409234023
0.110442,0.02782755844217035
0.110444,0.027840896474569943
0.110446,0.027854022561622657
0.110448,0.02786714767967342
0.11045,0.027880482774505888
0.110452,0.027893605947151862
0.110454,0.027906939081460667
0.110456,0.02792006030902127
0.110458,0.027933391483127443
0.11046,0.027946510765921997
0.110462,0.027959839980146523
0.110464,0.027972957318494352
0.110466,0.02798628457315816
0.110468,0.027999610844343947
0.11047,0.02801272526280241
0.110472,0.028026049574909156
0.110474,0.02803937290377929
0.110476,0.028052695249493435
0.110478,0.028065805773340342
0.11048,0.028079126160617755
0.110482,0.028092445564980473
0.110484,0.0281057639865091
0.110486,0.028119081425284152
0.110488,0.028132397881386252
0.11049,0.02814571335489589
0.110492,0.02815902784589363
0.110494,0.028172341354459975
0.110496,0.02818565388067546
0.110498,0.028199176187096206
0.1105,0.028212486741222145
0.110502,0.02822579631323916
0.110504,0.028239104903227716
0.110506,0.028252623243229042
0.110508,0.028265929861774456
0.11051,0.028279235498533253
0.110512,0.028292750862664803
0.110514,0.028306054528465293
0.110516,0.02831935721272092
0.110518,0.028332869601712978
0.11052,0.028346380994070643
0.110522,0.028359680718924727
0.110524,0.02837319012588295
0.110526,0.02838648788074881
0.110528,0.028399995302632527
0.11053,0.028413501728289242
0.110532,0.028426796524967445
0.110534,0.028440300966037335
0.110536,0.028453804411124637
0.110538,0.028467306860310956
0.11054,0.028480808313677903
0.110542,0.028494098176581308
0.110544,0.028507597646174453
0.110546,0.028521096120192522
0.110548,0.028534593598717083
0.11055,0.028548090081829652
0.110552,0.0285615855696118
0.110554,0.028575080062145066
0.110556,0.028588784100903725
0.110558,0.02860227659556643
0.11056,0.028615768095225202
0.110562,0.02862925859996156
0.110564,0.028642748109856998
0.110566,0.02865644712830317
0.110568,0.028669934641145915
0.11057,0.02868342115939259
0.110572,0.028697117163590264
0.110574,0.028710601685275127
0.110576,0.028724085212608694
0.110578,0.02873777820329716
0.11058,0.02875125973455964
0.110582,0.028764950714115108
0.110584,0.028778640684421448
0.110586,0.02879211921838528
0.110588,0.02880580717805249
0.11059,0.02881949412871809
0.110592,0.028832969666120815
0.110594,0.028846654606640945
0.110596,0.028860338538406912
0.110598,0.028874021461501292
0.1106,0.02888770337600668
0.110602,0.028901173915707193
0.110604,0.02891485382089019
0.110606,0.028928532717731513
0.110608,0.028942210606313717
0.11061,0.028955887486719345
0.110612,0.02896956335903095
0.110614,0.02898323822333108
0.110616,0.02899691207970225
0.110618,0.029010795233674273
0.11062,0.029024467066830522
0.110622,0.02903813789230576
0.110624,0.029051807710182474
0.110626,0.029065476520543164
0.110628,0.029079354590899026
0.11063,0.029093021378872583
0.110632,0.029106897411802155
0.110634,0.029120562177720116
0.110636,0.02913422593653518
0.110638,0.029148098917750245
0.11064,0.029161760655006426
0.110642,0.029175631599627452
0.110644,0.029189291315656077
0.110646,0.029203160224016034
0.110648,0.029217028110570885
0.11065,0.02923068479158014
0.110652,0.02924455064237365
0.110654,0.02925841547161251
0.110656,0.02927227927938032
0.110658,0.029285931912325862
0.11066,0.029299793684998687
0.110662,0.02931365443645082
0.110664,0.029327514166765815
0.110666,0.02934137287602728
0.110668,0.029355230564318744
0.11067,0.02936908723172374
0.110672,0.029382942878325827
0.110674,0.02939679750420854
0.110676,0.029410651109455385
0.110678,0.029424503694149874
0.11068,0.029438565328273766
0.110682,0.02945241586452229
0.110684,0.029466265380469397
