lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.013876,6.55086e-93,1.0199771408463728e-107,1.0199771408463726e-99,6.55086e-99
0.014014,6.35922e-93,9.70734190865079e-108,9.707341908650788e-100,6.3592199999999995e-99
0.014154,6.17238e-93,9.236660386159205e-108,9.236660386159205e-100,6.17238e-99
0.014225,6.08043e-93,9.008457747026678e-108,9.008457747026677e-100,6.080429999999999e-99
0.014295,5.99154e-93,8.790039902980335e-108,8.790039902980334e-100,5.991539999999999e-99
0.014438,5.81527e-93,8.363277583302778e-108,8.363277583302776e-100,5.81527e-99
0.014583,5.64352e-93,7.955674752906264e-108,7.955674752906263e-100,5.64352e-99
0.014729,4.95523e-93,6.847593892711143e-108,6.847593892711142e-100,4.95523e-99
0.014876,5.04253e-93,6.831197698585174e-108,6.831197698585174e-100,5.04253e-99
0.015025,5.0546799999999996e-92,6.712517148528117e-107,6.712517148528116e-99,5.054679999999999e-98
0.015175,4.91442e-91,6.397872384810317e-106,6.397872384810316e-98,4.91442e-97
0.015251,1.52927e-90,1.9710980565819346e-105,1.9710980565819343e-97,1.5292699999999998e-96
0.015327,4.70511e-90,6.00449060042148e-105,6.004490600421479e-97,4.70511e-96
0.01548,4.37055e-89,5.467828486335206e-104,5.467828486335205e-96,4.370549999999999e-95
0.015557,1.31957e-88,1.634562130390421e-103,1.6345621303904208e-95,1.31957e-94
0.015635,3.99678e-88,4.901569616376468e-103,4.901569616376467e-95,3.9967799999999995e-94
0.015791,3.5473599999999998e-87,4.264878865185672e-102,4.2648788651856707e-94,3.5473599999999996e-93
0.01587,1.0542e-86,1.2548443549634737e-101,1.2548443549634736e-93,1.0542e-92
0.015949,3.0989999999999996e-86,3.652375013816946e-101,3.6523750138169455e-93,3.098999999999999e-92
0.016029,9.135049999999999e-86,1.0659056736463852e-100,1.065905673646385e-92,9.135049999999999e-92
0.016108,2.6286e-85,3.0371200902275057e-100,3.037120090227505e-92,2.6285999999999997e-91
0.016189,7.68554e-85,8.791339343267799e-100,8.791339343267798e-92,7.68554e-91
0.016269,2.19425e-84,2.485335891492532e-99,2.4853358914925314e-91,2.19425e-90
0.016351,6.36252e-84,7.13446195450733e-99,7.134461954507329e-91,6.36252e-90
0.016432,1.80206e-83,2.000824963329888e-98,2.0008249633298877e-90,1.80206e-89
0.016514,5.11616e-83,5.6241935799647186e-98,5.624193579964718e-90,5.1161599999999995e-89
0.016596,1.4375e-82,1.5646662106732403e-97,1.56466621067324e-89,1.4374999999999998e-88
0.016679,4.0478e-82,4.362141323505265e-97,4.362141323505264e-89,4.0478e-88
0.016762,1.12809e-81,1.2036848093428444e-96,1.2036848093428443e-88,1.12809e-87
0.01693,8.70696e-81,9.106958049030914e-96,9.106958049030913e-88,8.70696e-87
0.017099,6.5305399999999996e-80,6.696199315986896e-95,6.696199315986895e-87,6.53054e-86
0.017185,1.7930799999999998e-79,1.8202091636425696e-94,1.8202091636425694e-86,1.7930799999999998e-85
0.01727,4.8175399999999997e-79,4.842407762383265e-94,4.8424077623832644e-86,4.8175399999999994e-85
0.017443,3.4946999999999997e-78,3.4434060749905917e-93,3.4434060749905915e-85,3.4946999999999996e-84
0.017618,2.49239e-77,2.4072627284889124e-92,2.407262728488912e-84,2.49239e-83
0.017794,1.7284000000000002e-76,1.6365067015667642e-91,1.636506701566764e-83,1.7284e-82
0.017883,4.53512e-76,4.251368328842568e-91,4.2513683288425675e-83,4.53512e-82
0.017972,1.17855e-75,1.0938956499285142e-90,1.093895649928514e-82,1.17855e-81
0.018061,3.03382e-75,2.7882192913634044e-90,2.788219291363404e-82,3.0338200000000003e-81
0.018151,7.81842e-75,7.1144050253383895e-90,7.114405025338389e-82,7.818419999999999e-81
0.018242,2.01678e-74,1.8169138104572258e-89,1.8169138104572256e-81,2.01678e-80
0.018333,5.15322e-74,4.5965533983504496e-89,4.596553398350449e-81,5.15322e-80
0.018516,3.30506e-73,2.890052331348211e-88,2.890052331348211e-80,3.30506e-79
0.018609,8.3794e-73,7.254167070882e-88,7.254167070881998e-80,8.3794e-79
0.018701,2.08409e-72,1.7865184769815053e-87,1.786518476981505e-79,2.08409e-78
0.018888,1.2919599999999999e-71,1.0856699633172817e-86,1.0856699633172816e-78,1.2919599999999999e-77
0.018983,3.21915e-71,2.678133494258758e-86,2.678133494258758e-78,3.2191499999999996e-77
0.019077,7.873069999999999e-71,6.485517810409158e-86,6.485517810409157e-78,7.873069999999999e-77
0.019173,1.9446600000000003e-70,1.585930822230902e-85,1.585930822230902e-77,1.94466e-76
0.019268,4.71599e-70,3.8082048620021654e-85,3.808204862002165e-77,4.71599e-76
0.019364,1.14415e-69,9.14773383826452e-85,9.147733838264518e-77,1.1441499999999999e-75
0.019461,2.77661e-69,2.1978865991826955e-84,2.1978865991826953e-76,2.7766100000000003e-75
0.019558,6.678700000000001e-69,5.234362009167822e-84,5.234362009167822e-76,6.6787e-75
0.019655,1.59248e-68,1.235801145221466e-83,1.2358011452214657e-75,1.59248e-74
0.019852,9.05878e-68,6.89099416957204e-83,6.890994169572039e-75,9.05878e-74
0.02005,5.02132e-67,3.744638068680072e-82,3.7446380686800714e-74,5.0213199999999996e-73
0.020251,2.7595e-66,2.0172427069145002e-81,2.0172427069145e-73,2.7594999999999995e-72
0.020453,1.47824e-65,1.0593796251803707e-80,1.0593796251803706e-72,1.47824e-71
0.020658,7.848379999999999e-65,5.513459378147495e-80,5.513459378147494e-72,7.848379999999999e-71
0.020761,1.7931399999999997e-64,1.2472064972220105e-79,1.2472064972220104e-71,1.7931399999999996e-70
0.020865,4.09547e-64,2.8202504281836916e-79,2.820250428183691e-71,4.09547e-70
0.020969,9.276919999999999e-64,6.325124451384274e-79,6.325124451384273e-71,9.276919999999998e-70
0.021073,2.0843400000000002e-63,1.407137482428459e-78,1.4071374824284588e-70,2.08434e-69
0.021284,1.05095e-62,6.95498594921109e-78,6.954985949211089e-70,1.0509499999999998e-68
0.021497,5.2088200000000005e-62,3.3791256416986676e-77,3.3791256416986674e-69,5.20882e-68
0.021604,1.15008e-61,7.387209518531906e-77,7.387209518531905e-69,1.15008e-67
0.021712,2.53783e-61,1.6139258185871483e-76,1.6139258185871481e-68,2.53783e-67
0.02182,5.556e-61,3.4984320858856026e-76,3.4984320858856023e-68,5.556e-67
0.021929,1.21558e-60,7.578209266429367e-76,7.578209266429366e-68,1.2155799999999998e-66
0.022038,2.6388e-60,1.6288564835972385e-75,1.6288564835972383e-67,2.6387999999999996e-66
0.022148,5.72437e-60,3.4984797968245236e-75,3.498479796824523e-67,5.72437e-66
0.022259,1.24081e-59,7.507834469930568e-75,7.507834469930567e-67,1.2408100000000001e-65
0.02237,2.6687899999999998e-59,1.598833120915421e-74,1.5988331209154207e-66,2.6687899999999995e-65
0.022593,1.2149399999999999e-58,7.135554524697791e-74,7.13555452469779e-66,1.2149399999999999e-64
0.022771,3.9868199999999996e-58,2.3050647245997567e-73,2.3050647245997564e-65,3.986819999999999e-64
0.022791,4.55097e-58,2.6266240311058786e-73,2.626624031105878e-65,4.5509699999999995e-64
0.022924,1.0907999999999999e-57,6.222788387982341e-73,6.22278838798234e-65,1.0907999999999998e-63
0.023047,2.42609e-57,1.3693006270104696e-72,1.3693006270104694e-64,2.42609e-63
0.023278,1.06384e-56,5.8858025774303e-72,5.885802577430299e-64,1.06384e-62
0.023394,2.21014e-56,1.2106859890517023e-71,1.2106859890517021e-63,2.21014e-62
0.023511,4.586650000000001e-56,2.4875630717654437e-71,2.4875630717654435e-63,4.586650000000001e-62
0.023746,1.9445600000000002e-55,1.0338585506240213e-70,1.0338585506240212e-62,1.94456e-61
0.023983,8.10781e-55,4.225880879192409e-70,4.225880879192409e-62,8.10781e-61
0.024223,3.34459e-54,1.7088649079590602e-69,1.70886490795906e-61,3.34459e-60
0.024465,1.35693e-53,6.796537336298069e-69,6.796537336298069e-61,1.35693e-59
0.024588,2.7355900000000002e-53,1.3565171898185836e-68,1.3565171898185832e-60,2.7355900000000002e-59
0.02471,5.44559e-53,2.673746026731159e-68,2.673746026731159e-60,5.44559e-59
0.024833,1.0826399999999999e-52,5.263157841696511e-68,5.26315784169651e-60,1.0826399999999998e-58
0.024957,2.14951e-52,1.034607005550657e-67,1.0346070055506569e-59,2.1495099999999997e-58
0.025207,8.53594e-52,4.0274460720921975e-67,4.027446072092197e-59,8.53594e-58
0.025333,1.6784e-51,7.840484986413687e-67,7.8404849864136865e-59,1.6783999999999999e-57
0.025459,3.27797e-51,1.516152880538985e-66,1.5161528805389847e-58,3.27797e-57
0.025586,6.3928e-51,2.927568256569414e-66,2.9275682565694134e-58,6.392799999999999e-57
0.025713,1.23845e-50,5.615567873271527e-66,5.615567873271527e-58,1.23845e-56
0.02597,4.62753e-50,2.0569609481998207e-65,2.0569609481998204e-57,4.627529999999999e-56
0.0261,8.9245e-50,3.927566817018248e-65,3.927566817018248e-57,8.9245e-56
0.02623,1.70985e-49,7.450443651729497e-65,7.450443651729496e-57,1.70985e-55
0.026361,3.27081e-49,1.4110820181747242e-64,1.411082018174724e-56,3.2708099999999994e-55
0.026492,6.21635e-49,2.65537993226809e-64,2.6553799322680897e-56,6.216349999999999e-55
0.026757,2.23479e-48,9.357990177343375e-64,9.357990177343374e-56,2.23479e-54
0.027025,7.94352e-48,3.260635788423075e-63,3.2606357884230746e-55,7.94352e-54
0.027295,2.7786700000000002e-47,1.118127883414289e-62,1.1181278834142888e-54,2.7786700000000002e-53
0.027432,5.19558e-47,2.0698543912093332e-62,2.069854391209333e-54,5.19558e-53
0.027568,9.61044e-47,3.7909971190289903e-62,3.7909971190289894e-54,9.61044e-53
0.027844,3.28625e-46,1.2707439533857507e-61,1.2707439533857506e-53,3.28625e-52
